problem,vehicle,distance
rc1_4_3,36,7562.6
r2_2_6,4,2913.0326
rc1_2_1,18,3602.8039
r1_2_9,18,3760.5836
r1_4_2,36,8955.5
r1_4_5,36,9242.43
rc1_4_5,36,8249.63
r1_2_6,18,3583.1397
c1_4_3,36,7060.73
r1_2_5,18,4107.8595
rc1_2_6,18,3324.8048
rc2_2_2,5,2825.2442
rc1_2_8,18,3083.933
c1_10_8,93,42499.59
c1_4_7,39,7417.9165
c1_8_9,72,24326.514
r1_10_10,91,47688.5959
r1_10_7,91,44299.6847
r2_6_6,11,12499.2344
r1_10_1,100,53435.9813
rc1_6_9,55,15891.18
c1_10_10,90,39852.4426
r1_10_8,91,42410.6131
rc1_8_4,72,26762.0836
r1_10_2,91,48801.866
r1_10_3,91,45137.2124
c1_10_10,90,40215.26
r1_8_2,72,32942.77
rc1_10_1,90,45830.6235
rc1_8_4,72,26675.4479
rc1_10_10,90,43576.0993
rc2_10_3,18,19996.1748
r1_8_8,72,27722.4371
rc2_10_2,18,26194.5349
r1_4_7,36,7616.8532
rc1_8_5,72,29796.6722
r1_4_3,36,7818.201
r1_4_2,36,8911.8837
c1_10_7,97,43453.9222
rc2_8_5,15,19092.6913
r2_6_6,11,12499.0025
rc2_6_3,11,9438.9451
rc2_10_2,18,26114.6535
